Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-73.98621426599993 40.73032523900008, -73.98194418899999 40.72853250700007))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Jodie Lane Place,11th Street,Female,"Jodie Shonah Lane was born in Rochester, New York- on Sept 27, 1973. She was 30 years old. Jodie came to New York from Texas 10 years ago to attend Sarah Lawrence College. The City became such a part of her that she applied to Teachers College for her ma",between Avenue A and 2nd Avenue,10009,Lopez,
"MULTILINESTRING ((-73.92236822699994 40.63585817200004, -73.92274909999998 40.63564648600004))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,In Memory of Police Officer James Carragher,East 56th Street,Male,"Police Officer James Carragher was a veteran of World War II serving in the United States Navy. He received three Medals of Honor before being honorably discharged. Unfortunately, upholding his NYPD Oath that he took sixteen years earlier, Officer Carrag",East 56th Street and Farragut Road,11234,Stewart,
"MULTILINESTRING ((-73.81664314099999 40.82314855900006, -73.81612755999998 40.82186531800005))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Bronx,Throgs Neck Expressway,Hollywood Avenue,Group,"For over 40 years the owners of 485 and 489 Throgs Neck Expressway have believed that this was their legal address.  The street sign on the corner of their block read Throgs Neck Expressway throughout the years.  When the street sign fell, and the Depart",Between Dewey Avenue and the Cross Bronx Expressway,10465,Provenzano,
"MULTILINESTRING ((-73.72352653599995 40.73396241200004, -73.72331683599998 40.73400213700006, -73.72327172699994 40.73389358700007, -73.72351645999998 40.73393187100004, -73.72352653599995 40.73396241200004))",Int. No. 185,07/29/2002,2002,2002/019,Street,Queens,Frank LoCicero Bellerose-Hillside Civic Garden,,Male,"The following biographical information was provided by the Bellerose Hillside Civic Association. 

Frank P. LoCicero was born on February 22nd, 1998 in Manhattan. He graduated from Harran High School where he studied art. He became, at age 17, the younge",entire traffic island on Hillside Avenue and the Cross Island Parkway Service Road South,11426,Weprin,
"MULTILINESTRING ((-73.88705802799996 40.84848094500006, -73.88589126699998 40.849848433000034))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Bronx,Vincent Jackson Way,Clinton Avenue,Male,"Vincent Jackson was a sergeant in the New York City Health and Hospital Corporation hospital police when he retired in 1992.  Later on, he became interested in politics and became an advocate for housing and social programs that would improve the lives o",Between East 181st Street and East 182nd Street,10457,Rivera,
"MULTILINESTRING ((-73.95973068099994 40.708201806000034, -73.95978408999997 40.70803009100007, -73.95983758899996 40.707858083000076, -73.95994082699997 40.70752615600003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Emmanuel St. Bernard’s Corner,Havemeyer Street,Male,"Emmanuel St. Bernard was a dedicated member of his community. He talked to everyone in the community.  He received a citation from the City Council for his community involvement, was an active member with the Tenant’s Patrol and also helped many people",Between Division Avenue and South 9th Street,11211,Restler,
"MULTILINESTRING ((-73.95450150299996 40.706640976000074, -73.95628785399998 40.70548403500004))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Brooklyn,Sister Mary Marcellus Way,Hooper Street,Female,"Sister Mary Anne Marcellus began her religious life in 1958 as a Sister of St. Joseph of Brentwood, New York.  After being assigned to two other parishes, St. Agnes, and St. Ambrose, in 1965, she was missioned to Transfiguration Parish in Williamsburg",Between Marcy Avenue and Harrison Avenue,11211,Reyna,
"MULTILINESTRING ((-73.93832285899998 40.84616819000007, -73.93789906999996 40.84598963700006))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Manhattan,Freddy Beras-Goico Way,175th Street,Male,"Freddy Beras-Goico was born in Santa Cruz del Seibo, El Seibo, Dominican Republic. He had a career in media for over 30 years.  He was a T.V. presenter, writer for his show “El Gorde De La Semana” (The Fat Man of the Week), “Punto Final” and “C",Between Broadway and Wadsworth Avenue,10033,Rodriguez,
"MULTILINESTRING ((-73.76227066899997 40.69168179900004, -73.76117394299996 40.69198233900005))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,A Tribe Called Quest Boulevard,Linden Boulevard,Group,"A Tribe Called Quest was an American hip-hop act formed in Queens, New York in 1985 consisting of rappers Q-Tip, Phife Dawg, DJ and co-producer Ali Shaheed Muhammad and rapper Jarobi White. They were one of the most progressive and crucial rap groups of",Between Farmers Boulevard and 190th Street,11412,Williams,
"MULTILINESTRING ((-73.98289599399999 40.72264170600005, -73.98070194699994 40.72172288100006))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Reverend Pedro Pietri Way,East 3rd Street,Male,"Reverend Pedro Pietri was a very active member of his community, where he participated in many issues related to housing, culture, homelessness, citizen’s rights and youth. He was a gifted poet whose works could be seen and heard at the Nuyorican Poets",Between Avenue B and Avenue C,10009,Lopez,
"MULTILINESTRING ((-74.00478378599996 40.709718061000046, -74.00429562399995 40.710157226000035))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Manhattan,Dr. Elizabeth Blackwell Place,Gold Street,Female,"Known worldwide as the first woman to receive her degree as a Doctor of Medicine, Elizabeth Blackwell represents a historic moment in modern medicine and women’s liberation.  She studied privately with independent physicians, an education which culmina",Between Beekman Street and Spruce Street,10038,Gerson,
"MULTILINESTRING ((-73.99566762799998 40.62805317800007, -73.99363987799995 40.626837873000056))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Brooklyn,Zachary Sansone Way,59th Street,Male,"Zachary Sansone was born in Brooklyn and at the age of 12 he moved to Italy with his family.  After World War II, he became the first democratically elected mayor of Sant’ Antoio Abate, Italy.  He returned to New York in 1949 and became very active",Between 14th Avenue and 15th Avenue,11219,"Recchia, Jr.",
"MULTILINESTRING ((-73.88721082999996 40.75525036100004, -73.88691310499996 40.753679771000066))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Queens,Dr. Dolores Beckham Way,80th Street,Female,"Dr. Dolores Beckham was an educator for 40 years and was the principal of the Joseph Pulitzer Middle School since 1999.  Under her leadership, she introduced a dual language program to the school and it was selected as one of the 15 recognized as the Cha",Between 34th Avenue and Northern Boulevard,11372,Dromm,
"MULTILINESTRING ((-73.91295440499994 40.684459822000065, -73.91171522499997 40.685728994000044))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Brooklyn,Rev. John B. Elliott Way,Schaefer Street,Male,John B. Elliott served in the United States Navy and later became a community activist who founded the Mt. Paran Baptist Church in Bushwick in 1988.  He served as chairperson of the board of directors for Bushwick Family Services now known as the Family,Between Broadway and Bushwick Avenue,11207,Dilan,
"MULTILINESTRING ((-73.90285759999995 40.82833025900004, -73.90349060199998 40.826775603000044))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Charles Prince Place,Jackson Avenue,Male,Charles Prince was a committed leader who felt that he could best serve his community by getting involved in the agencies and organizations that made the decisions for the community.  He served as Chairman of the Southeast Bronx Neighborhood Center and t,Between East 166th Street and Home Street,10456,Foster,
"MULTILINESTRING ((-73.98273200399996 40.682114382000066, -73.98065865699994 40.68130687100006))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Brooklyn,Willie McDonald Way,Warren Street,Male,"Originally from Wilson, North Carolina, Willie McDonald moved to Brooklyn in the early 1950’s and shared his love of cooking with the community.  The community enjoyed his cooking so much, that he became involved with the Warren Street Houses feeding h",Between 3rd Avenue and 4th Avenue,11217,Levin,
"MULTILINESTRING ((-74.13970669499997 40.61629708800007, -74.13909783299994 40.61621157500008))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Staten Island,Detective Michael Morales Way,Watchogue Road,Male,"Michael Morales served with the United States Army in the Vietnam War and was the recipient of the Purple Heart.  Later on, he served with the New York City Police Department for twenty-nine years and was assigned to the 122nd Precinct Detective Squad.",Between Livermore Street and Woolley Avenue,10314,Oddo,
"MULTILINESTRING ((-73.94427465899997 40.829619507000075, -73.94228177799994 40.82876101800008))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Manhattan,Dance Theatre of Harlem Way,West 152nd Street,Group,"Dance Theatre of Harlem has and continues to serve thousands of people each year through its School, Education and Community Outreach programs and Professional Dance Company. Since its inception in 1969, DTH has grown from 2 professional dancers and 30 c",Between Amsterdam and St. Nicholas Avenues,10031,Jackson,
"MULTILINESTRING ((-73.92762146699994 40.69111844500003, -73.92548761999996 40.69136249500008))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,Dr. Jerry V. Burns Way,Greene Avenue,Male,"Jerry V. Burns was the pastor and founder of the Open Door Church of God in Christ for 36 years.  He opened a food pantry and soup kitchen serving approximately 3,000 people on a weekly basis.  The church also provided biblical studies, counseling sessio",Between Patchen Avenue and Broadway,11221,Mealy,
"MULTILINESTRING ((-73.93907221599994 40.651300813000034, -73.93960435999998 40.65127233700008, -73.94089288599997 40.651201126000046, -73.94140082499996 40.65117119200005, -73.94181488599997 40.65115143400004, -73.94270738199998 40.651115986000036, -73.94307037799996 40.651068235000025, -73.94344946699994 40.65106525300007, -73.94419691599995 40.651055220000046, -73.94558184499994 40.650972069000034, -73.94637080399997 40.650923539000075, -73.94707929799995 40.65088314900004, -73.94918509899998 40.65078565300007, -73.95002591399998 40.650748865000025, -73.95146688099999 40.65067469100006, -73.95232685899998 40.65063801800005, -73.95358036499994 40.65057505200008, -73.95509775999994 40.65053139400004, -73.95572970499995 40.65050893100005))",Int. No. 457,12/05/2006,2006,2006/050,Street,Brooklyn,Bob Marley Boulevard,Church Avenue,Male,"Bob Marley was a reggae international superstar born in Jamaica. His career spanned over forty years. In 1964, he was the founding member of a group called the Wailing Wailers and his musical talents landing him on top of the Jamaican charts. By the year",North side of Church Avenue from Albany Avenue to New York Avenue and both sides of Church Avenue from New York Avenue to Bedford Avenue,11203,Clarke,
"MULTILINESTRING ((-73.73776512399996 40.67534149200003, -73.73712943999993 40.67646844400008))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Queens,"Bishop Roy L. Gilmore, Sr. Way",232nd Street,Male,"Bishop Roy L. Gilmore led an extraordinary life with an outstanding commitment to the advancement of the lives of others, particularly in Laurelton, Queens. Bishop Gilmore had 41 years of ministerial service and more than 50 years of service to the busin",Between Merrick Boulevard and 133rd Avenue,11413,"Sanders, Jr.",
"MULTILINESTRING ((-73.94068760599998 40.61968478000006, -73.94038719899999 40.61810895600007))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,9/11/01 Hero - Abe (Averemel) Zelmanowitz Way,East 35th Street at Fraser Square,Male,Abe (Averemel) Zelmanowitz was a long time resident of Brooklyn and a devout member of the Orthodox Jewish community. He made a fateful decision on September 11th to stay in the building after the planes crashed into the World Trade Center upon seeing th,Between Kings Highway and Flatlands Avenue,11234,Fidler,
"MULTILINESTRING ((-73.90679013099998 40.82348588700006, -73.90741240299997 40.82199810000003))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Hilton White Way,Cauldwell Avenue,Male,"Hilton White was an important figure in the history of the Bronx and in the history of American sports.  From the mid 1950’s through the late 1960’s, Mr. White ran a community basketball program called The Falcons that taught discipline, pride and re",Between East 161st Street and East 163rd Street,10456,Foster,
"MULTILINESTRING ((-73.91245100999998 40.68615979300006, -73.91374276199997 40.684871103000035))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,Hudson Blvd.,Covert Street,Male,"Bishop Zenopha Socrates Hudson received his Doctorate of Sacred Theology from Trinity Hall Bible College and became a renowned theologian, bible scholar and defender of the faith.  He was the Jurisdictional Bishop of Belize C.A.  Under his dedicated lead",Between Bushwick Avenue and Broadway,11207,Dilan,
"MULTILINESTRING ((-73.98388635999999 40.68416322400003, -73.98208391599997 40.68345336900006))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Reverend Timothy White Way,Bergen Street,Male,"Reverend Timothy White was born in Buckingham County, Virginia and later came to Brooklyn, New York in 1888. Shortly thereafter, he allied himself with the Concord Sunday School and in that same year joined the Holy Trinity Baptist Church serving as Trus",Between 3rd Avenue and Nevins Street,11217,Yassky,
